Country,country_ID,grade_4,grade_8,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,HDI rank,Gender Development Index,GDI Group,HDI Female,HDI Male,Life expectancy at birth Female,Life expectancy at birth Male,Expected years of schooling Female,Expected years of schooling Male,Mean years of schooling Female,Mean years of schooling Male,Estimated  gross national income per capita,GNI Male,Youth literacy rate Female,Youth literacy rate Male,Population with at least some secondary education,Pre-primary,Primary,Secondary,Tertiary,Primary school dropout rate,Lower secondary retention,Government expenditure on education,Exports and imports,Stock of immigrants,International student mobility,International inbound tourists,Share of internet users,Share of female internet users,Lost health expectancy,"Physicians per 10,000 people","Hospital beds per 10,000 people","Pupilâ€“teacher ratio, primary school",Primary schools with access to the Internet,Secondary schools with access to the Internet,PISA Reading,PISA Math,PISA Science,Share of vulnerable employment,Share of rural population with access to electricity,Share of population with safe drinking water,Share of population with sanitation services,Male to female births,Gender enrolment ratio pre-primary,Gender enrolment ratio primary,Gender enrolment ratio secondary,Youth unemployment rate gender ratio,At least some secondary education gender ratio,Total unemployment rate gender ratio,Share of female employment in nonagriculture,Share of seats held by women in parliament,Share of seats held by women in local government,Share of hour women spent on unpaid domestic chores and care work,Time spent on unpaid domestic chores and care work gender ratio,Old-age pension recipients gender ratio,Share of women married by age 18,Share of female in STEM tertiary education programs,Share of female STEM tertiary education graduates,Female share of employment in senior and middle management,Women with account at financial institution or with mobile money-service provider,Days of mandatory paid maternity leave,Share of violence against women ever experienced by intimate partner,Share of violence against women ever experienced by nonintimate partner,Share of skilled labour force,Ratio of education and health expenditure to military expenditure,Gender Inequality Index,GII Rank,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament held by women,Share at least some secondary education Female,Share at least some secondary education Male,Labour force participation rate Female,Labour force participation rate Male
Albania,8,yes,no,0.795,78.57,14.69562,10.14573,13998.29989,68.0,0.9668253716934854,2.0,0.780396712670255,0.807174424170641,80.201,77.002,15.50103,13.95683,9.701855484,10.61449619,11004.45479585217,16884.667132163697,99.63,99.05,93.17388938,80.49873,106.99342,95.43233,54.96133,7.59791,94.3052,2.46866,76.7283,1.706401122,-13.85236,5340.0,71.847,,12.28024402377288,12.164,28.9,17.57287,46.8,74.4,405.4293663,437.2219913,416.7262577,52.852,100.0,70.0,40.0,1.09,1.0069517339575802,1.0376467225055248,1.0053936697102948,0.7990007560069684,1.0130013913795668,0.9033162073797291,39.17053,29.50819672,43.61,21.73611,6.260003686402359,,11.8,15.19639,46.65349,41.34,38.10295868,365.0,21.0,1.3,79.5197,,0.181,42.0,15.0,19.642,29.50819672,93.69974565,92.49715395,46.712,64.568
Armenia,51,yes,no,0.776,75.09,13.06861,11.30174,13894.01302,72.0,0.9820915997742171,1.0,0.7661304804028459,0.7801008384339906,78.516,71.327,13.60293,12.5846,11.29839,11.30585,9737.422415077495,18574.00571903685,99.87416,99.82128,97.22247,38.02129,92.71525,83.15068,54.57048,5.56343,94.88719,2.70759,91.43229,6.429218884,-1.31441,1652.0,64.7449,63.4366,12.009465167590406,44.023,41.6,15.41859,100.0,100.0,,,,38.668,100.0,86.0,48.0,1.11,1.0842889513208962,0.9996083346219901,1.0376230902406234,1.3836091307475964,1.001197450132638,1.0338334628489452,43.909,23.48484848,9.04,21.65833,4.9551984405707845,1.1653290529695024,5.3,10.15968,39.81053,,40.90643692,140.0,8.2,,79.9449,3.403877,0.245,54.0,26.0,21.49,23.48484848,97.26805434,97.15172,47.074,65.887
Australia,36,yes,yes,0.944,83.44,21.95433,12.72469119,48084.84207,7.0,0.9762035605125557,1.0,0.9318109561617719,0.9545252587201428,85.403,81.492,22.43083,21.48273,12.79604116,12.65123522,39286.57417328427,56953.61353311733,,,90.98537,164.55399,100.33898,150.31148,113.14216,,,5.27163,45.68621,29.95361938,20.71761,9246.0,86.545,86.1214,15.186592894658602,36.778,38.4,,100.0,100.0,502.6317243,491.3600252,502.9645628,10.634,100.0,,76.0,1.06,0.9609258025909253,0.9999020367584391,0.8877836038718873,0.8529434397845326,1.0008857048231163,1.021668264621285,46.94679,36.56387665,33.92,,,1.05635838150289,,10.234,32.07578,,99.19509125,,22.8,10.0,78.94,6.912926,0.097,25.0,6.0,11.715,36.56387665,91.02507,90.94452,60.3,70.855
Austria,40,yes,no,0.922,81.54,16.09207,12.5461436,56196.89869,18.0,0.963932404178508,2.0,0.9027274536729487,0.9365049351590997,83.866,79.169,16.38729,15.81279,12.23973506,12.87223858,39385.87800432889,73527.75414800868,,,99.96717462,104.38375,103.11315,100.45521,85.05714,0.44908,99.61254,5.5007,107.7247,19.87534034,12.7319,30816.0,87.7105,85.6636,14.069385789556875,51.697,72.7,10.01653,,,484.3925685,498.9423138,489.7804392,7.385,100.0,99.0,97.0,1.06,0.9896136673138445,0.9972733145504257,0.9595460526598276,0.8929788684389912,1.0021340031720474,0.9504598662207357,46.67134,38.52459016,23.09,18.32865,1.9159722106073023,0.988,,14.28622,25.9026,32.01,98.37577057,112.0,13.0,4.0,87.6045,21.73228,0.069,14.0,5.0,7.34,38.52459016,100.0,99.78705411,55.059,66.573
Azerbaijan,31,yes,no,0.756,73.01,12.89364,10.57543,13783.67995,88.0,0.9427321413710316,3.0,0.7296549712857238,0.7739790967820127,75.455,70.511,13.00958606,12.79102352,10.24592,10.93251,8919.23823824371,18663.688196437346,99.91311,99.96065,95.64132,39.71233,99.7221,94.48008,27.7085,5.58613,96.41643,2.47382,86.04388,2.526812556,-18.6701,2633.0,79.8,75.9826,11.25011936885356,34.46,48.2,15.42982,53.6,61.7,389.3883339,419.6431128,397.6495811,55.231,100.0,74.0,,1.13,0.9896753805729552,1.0054638974608912,1.0011795222733582,1.236609186632077,0.9630889031018834,1.3410245554614733,44.14604,16.80672269,35.0,25.41667,2.859375017578123,1.5103011093502376,11.0,14.57239,35.09903,,27.71962547,126.0,13.5,,93.3,2.371953,0.323,73.0,26.0,55.838,16.80672269,93.9019,97.50076,63.411,69.737
Bahrain,48,yes,yes,0.852,77.29,16.25482,9.5192,42521.70451,41.0,0.9217169324821973,4.0,0.805511835617748,0.87392539643217,78.423,76.436,16.6709,16.09411,9.08769,9.72027,19059.247863402634,55564.603111811884,99.30134,99.97614,72.34712,53.66259,99.36305,98.59907,50.4819,2.7639,98.21914,2.32721,151.4049,45.16047069,-0.50331,12045.0,98.6434,98.5041,13.561317290508546,9.257,17.4,11.92315,100.0,100.0,,,,1.081,100.0,99.0,96.0,1.04,1.034321126986806,0.9878741947707463,1.0613525629752856,7.8082802547770696,0.9155587209865383,19.753333333333334,19.78424,18.75,13.33,,,,,10.46481,41.21339,,75.40673828,60.0,,,19.27,1.612034,0.212,49.0,14.0,13.368,18.75,68.06703,74.3448,44.96,87.174
Belgium,956,yes,no,0.931,81.63,19.77438,12.05027,52084.59209,13.0,0.9738078064627926,2.0,0.9179405118829523,0.9426300608712825,83.882,79.32,20.72962,18.83843,11.93601,12.17293,41948.318533633,62427.38621331777,,,86.59634993,115.14532,103.90557,158.54185,79.66173,,93.31459,6.54513,163.2932,17.17534158,5.69254,9119.0,88.6551,87.2604,14.355610916943473,30.709,55.8,11.27695,100.0,100.0,492.8644387,508.0703063,498.773127,10.189,100.0,100.0,97.0,1.05,0.99793816275509,1.0009925355701907,1.1206666247661212,0.7405490549054905,0.9585949018729745,0.8592939601806926,46.59203,43.33333333,39.03,15.90278,1.5793112625925572,1.0,,7.22535,25.83196,31.88,98.81755066,105.0,24.0,8.0,85.6118,18.34235,0.043,4.0,5.0,4.651,43.33333333,84.72241,88.38187,48.608,58.699
Bosnia and Herzegovina,70,yes,no,0.78,77.4,13.8,9.81787,14871.81114,76.0,0.937114942029348,3.0,0.7525972148013214,0.8031002186045092,79.857,74.893,14.07886364,13.52113636,8.85433,10.85816,10566.53285490034,19356.56489262266,99.66747,99.65765,81.36289,,,,,6.06509,94.97269,,95.88062,1.082550742,-5.68706,1053.0,70.1201,68.3368,12.995015639381757,21.616,34.9,16.92651,,,402.9778213,406.3844079,398.4976628,16.154,100.0,89.0,22.0,1.07,,,,1.2591360299172327,0.8283870209329858,1.252953108220976,37.92475,21.05263158,18.59,,,,3.5,16.1154,44.49518,25.43,54.7417984,365.0,11.0,1.0,83.5895,,0.149,38.0,10.0,9.642,21.05263158,73.99215,89.32075,35.387,58.05
Bulgaria,100,yes,no,0.816,75.05,14.41442,11.36009,23324.6574,55.0,0.9946854591719437,1.0,0.8130032114518209,0.8173470356434387,78.665,71.55,14.64193,14.20139,11.46954,11.23978,18453.147437628228,28482.73511572628,97.65106,98.06693,95.49784429,76.96318,89.33377,98.18347,71.03066,5.52786,46.67097,4.07685,123.7231,2.407330504,-4.4742,9273.0,64.782,63.4094,11.951362534446952,40.332,74.5,15.20744,,,419.8440061,436.0405711,424.0735829,7.794,100.0,97.0,64.0,1.06,0.9831603044325821,0.993885056927341,0.9734732924200501,0.8809040857722399,0.9793895548260407,0.8522654069143225,47.48169,25.83333333,27.15,18.47222,2.0,1.0,,12.4616,36.87189,39.25,73.63685608,410.0,23.0,6.0,87.894,7.377012,0.206,48.0,10.0,39.86,25.83333333,94.43896,96.42635,49.239,61.983
Canada,124,yes,no,0.929,82.43,16.15789,13.36610479,48527.03573,14.0,0.9855929026542676,1.0,0.9215525045584151,0.935023478838588,84.391,80.447,16.66986,15.66355,13.41614,13.31281,39459.204895532974,57733.57500352735,,,100.0,,100.94368,113.76286,68.92251,,,,64.97671,21.27889391,9.87913,21134.0,91.0,,14.273897077836873,26.102,25.2,,,,520.0855209,512.0169429,517.9976609,10.691,100.0,99.0,82.0,1.05,,0.9975925774204543,1.0130385076324224,0.8224465558194775,1.0,0.9018163125428375,47.78828,33.18284424,26.6,14.58333,1.5217393119093259,1.0,,11.63188,31.4295,,99.85279846,105.0,,,91.9557,13.06508,0.08,19.0,10.0,8.387,33.18284424,100.0,100.0,60.836,69.422
"Canada, Ontario",9132,yes,yes,0.929,82.43,16.15789,13.36610479,48527.03573,14.0,0.9855929026542676,1.0,0.9215525045584151,0.935023478838588,84.391,80.447,16.66986,15.66355,13.41614,13.31281,39459.204895532974,57733.57500352735,,,100.0,,100.94368,113.76286,68.92251,,,,64.97671,21.27889391,9.87913,21134.0,91.0,,14.273897077836873,26.102,25.2,,,,520.0855209,512.0169429,517.9976609,10.691,100.0,99.0,82.0,1.05,,0.9975925774204543,1.0130385076324224,0.8224465558194775,1.0,0.9018163125428375,47.78828,33.18284424,26.6,14.58333,1.5217393119093259,1.0,,11.63188,31.4295,,99.85279846,105.0,,,91.9557,13.06508,0.08,19.0,10.0,8.387,33.18284424,100.0,100.0,60.836,69.422
"Canada, Quebec",9133,yes,yes,0.929,82.43,16.15789,13.36610479,48527.03573,14.0,0.9855929026542676,1.0,0.9215525045584151,0.935023478838588,84.391,80.447,16.66986,15.66355,13.41614,13.31281,39459.204895532974,57733.57500352735,,,100.0,,100.94368,113.76286,68.92251,,,,64.97671,21.27889391,9.87913,21134.0,91.0,,14.273897077836873,26.102,25.2,,,,520.0855209,512.0169429,517.9976609,10.691,100.0,99.0,82.0,1.05,,0.9975925774204543,1.0130385076324224,0.8224465558194775,1.0,0.9018163125428375,47.78828,33.18284424,26.6,14.58333,1.5217393119093259,1.0,,11.63188,31.4295,,99.85279846,105.0,,,91.9557,13.06508,0.08,19.0,10.0,8.387,33.18284424,100.0,100.0,60.836,69.422
Chile,152,yes,yes,0.851,80.18,16.44755,10.58295,23261.29726,43.0,0.9627589312244506,2.0,0.8325276348416307,0.8647311469578477,82.442,77.771,16.67013,16.23049,10.47589,10.7104,16397.96495008529,30321.884984345852,99.01156,99.00582,79.64660737,81.76367,101.43016,101.83142,88.46442,0.45466,99.25933,5.40274,56.76179,4.959846535,-0.90993,5723.0,82.3275,80.7228,13.63863310222192,25.912,20.6,17.79358,,,452.2725542,417.4065563,443.5825634,22.694,100.0,99.0,77.0,1.04,0.9818317840929351,0.9715771610933113,1.0038111570079213,1.1679030522679654,0.9587462153212107,1.1595904847937368,43.83626,22.72727273,24.86,22.10355,2.243113428509959,1.593959731543624,,6.7635,18.82858,28.29,71.27378845,126.0,,,71.2648,7.432401,0.247,55.0,13.0,41.052,22.72727273,77.77333,81.11983,51.798,73.975
Croatia,191,yes,no,0.851,78.49,15.22672,11.44932,28069.84837,44.0,0.9900189694790634,1.0,0.8484817587070592,0.8570358597810712,81.59,75.296,15.95024,14.53507,11.09893,12.17293,23775.240506791688,32688.748476732333,99.73572,99.71204,95.84457776,70.04889,96.47103,99.40242,67.86556,2.95915,96.63524,4.55695,102.8498,12.54345927,-5.26118,16645.0,72.6888,70.8541,13.28284095879666,29.996,55.4,13.50611,,,478.9891523,464.2042728,472.3626195,7.271,100.0,90.0,58.0,1.06,0.9836173345620438,1.0012382165615668,1.0485849125581352,1.5390700233869858,0.971286977339089,1.5860550458715597,46.26877,20.52980132,26.39,,,,,17.62704,38.91309,24.27,82.69694519,208.0,13.0,3.0,91.7963,6.733148,0.116,29.0,8.0,8.681,20.52980132,94.62314444,97.42037796,45.446,57.49
Cyprus,196,yes,yes,0.887,80.98,15.16887,12.17123,38206.84049,32.0,0.9790503054886733,1.0,0.8764220739241164,0.8951757320443998,83.032,78.921,15.39407,14.94421,12.07645,12.26718,31880.869915379466,44532.59995158062,99.83831,99.80454,81.77329,83.71259,99.30669,100.33255,75.94081,1.24364,93.10108,6.29136,142.643,16.01251486,-51.17312,3939.0,84.4336,84.5601,13.49806818028535,19.509,34.0,12.03922,,,424.3582471,450.6829941,439.0082497,11.06,100.0,100.0,75.0,1.07,0.9883987828277897,1.0010818669408443,0.9843987401177317,0.8402569088444994,0.9542979505019914,1.2403787416004888,46.2347,17.85714286,,,,0.768,,8.94746,38.26274,26.99,90.01422119,126.0,15.0,2.0,84.9979,9.056131,0.086,21.0,6.0,4.582,17.85714286,79.93714,83.76539,57.835,68.346
Czechia,203,yes,no,0.9,79.38,16.78511,12.72238228,38108.56662,26.0,0.9854316655027545,1.0,0.8925294838935959,0.9057243796181838,81.944,76.76,17.52742,16.07821,12.54734683,12.90645352,29480.47924220943,47012.12446856166,,,99.97742903,106.41897,100.67099,103.49158,64.07869,0.51565,95.46067,5.58738,144.8765,4.796472779,8.81394,10611.0,80.6882,78.675,13.66043323865378,41.208,66.2,18.93175,,,490.2188148,499.4676508,496.7913106,13.681,100.0,98.0,94.0,1.06,0.9695781195089824,1.0056037469604453,1.0071518725972033,1.0963168187744459,1.0008419191030953,1.5213784301212507,45.01232,20.6405694,27.06,,,1.0,,13.86285,35.56827,26.61,78.58478546,196.0,21.0,4.0,95.3939,12.7095,0.136,36.0,3.0,11.972,20.6405694,99.98682,99.90271,52.939,68.548
Denmark,208,yes,no,0.94,80.9,18.89342,12.61380326,58661.87084,10.0,0.9825656024202176,1.0,0.9310091587903512,0.9475287517669307,82.865,78.946,19.55325,18.25409,12.83248399,12.39449532,49296.29514256886,68133.62253042427,,,90.94939381,95.91547,101.26809,129.07748,80.61602,0.22989,99.70299,7.63485,105.0017,12.52414293,9.05599,12749.0,97.6443,97.4618,13.81837636081239,40.099,26.0,10.73738,100.0,100.0,501.1299337,509.3983746,492.6370334,4.895,100.0,97.0,95.0,1.06,0.9888300451989084,0.9935870453314958,1.010911859917461,0.8948435689455387,1.0029498096636111,1.114831508907491,47.83098,39.10614525,33.33,15.625,1.3888888888888888,1.0224948875255624,,12.74708,34.24926,26.63,100.0,126.0,32.0,11.0,79.6615,15.49393,0.038,2.0,4.0,4.123,39.10614525,91.15192,90.88383,58.248,66.285
Egypt,818,no,yes,0.707,71.99,13.32624,7.434,11466.14512,117.0,0.8823332278842357,5.0,0.652050925257035,0.7390075593328846,74.35,69.742,13.31444,13.33763,6.78,8.082,4752.9076273667615,18039.470400234823,86.81055,89.48338,72.95913,28.70762,106.28493,87.91114,35.16452,2.98073,92.3208,,48.27827,0.502104468,0.70563,11196.0,46.9243,41.2807,11.97815430302761,4.521,14.3,23.67945,47.6,49.1,,,,20.721,100.0,,61.0,1.06,0.9957863977228959,1.0039204126722399,0.9865933151913497,1.5489995839479558,1.0133947066100304,3.05939226519337,17.43754,14.93288591,,22.36111,9.1999827200316,,17.4,7.73353,36.89891,,26.9944191,90.0,25.6,,57.196,3.772576,0.449,108.0,37.0,53.819,14.93288591,73.50696,72.53537,21.933,70.858
England,926,yes,yes,0.932,81.32,17.49843,13.24287,46070.64481,14.0,0.9699238256280696,2.0,0.9159521804260728,0.944354758821346,82.999,79.613,17.98136,17.01851,13.24347,13.24225,33322.8166645938,59134.68614066317,,,78.79872144,106.38731,101.15456,125.85187,59.99557,0.24553,,5.48697,64.25368,14.14495139,16.46796,36316.0,94.8967,95.2607,14.753650435690846,28.117,24.6,15.13275,,,503.9281094,501.7698992,504.6674736,12.998,100.0,100.0,98.0,1.05,0.9980159728832099,0.9971326745872438,1.0292982136582127,0.6615281998073075,0.9836078489053186,0.873229115779189,47.17566,28.90896456,34.25,12.65278,1.8165500884386558,1.0,,17.5272,38.10313,34.91,96.07344055,42.0,29.0,7.0,84.3688,8.386448,0.118,31.0,7.0,13.37,28.90896456,78.00672324,79.30673116,57.647,68.11
Finland,246,yes,yes,0.938,81.91,19.39712,12.82413,48511.3978,11.0,0.9899190976379478,1.0,0.9324888493432365,0.9419849072194425,84.718,79.091,20.20295,18.62983,12.99106,12.64766,40758.7551517039,56485.02918287682,,,100.0,83.58174,100.15464,153.96358,88.19783,0.19134,99.85605,6.89735,79.46667,6.925256627,4.48993,3224.0,88.89,87.6452,14.081805662474068,38.118,36.1,13.66688,100.0,100.0,520.0787482,507.3013618,521.884563,9.585,100.0,100.0,99.0,1.05,0.9963936139401703,0.9948693591335067,1.1004131251092666,0.769239118636709,1.0,0.9161816065192084,48.96463,47.0,39.05,14.52917,1.4596063760213058,1.0,,12.39173,27.40048,36.76,99.58627319,147.0,30.0,11.0,90.5192,11.42543,0.047,7.0,3.0,5.813,47.0,100.0,100.0,55.542,62.773
